test1,test2,test3,test4,test5,test6,test7,test8,test9,test10
4.16E-19,5.48E-05,5.03E-05,5.69E-05,5.47E-05,3.82E-08,3.39E-08,4.36E-08,1.93E-09,1.86E-09
8.46E-19,6.52E-05,5.59E-05,6.09E-05,6.26E-05,5.83E-08,5.39E-08,4.83E-08,1.27E-08,1.25E-08
1.72E-18,6.35E-05,7.99E-05,7.75E-05,8.04E-05,8.09E-08,5.30E-08,6.95E-08,8.65E-08,8.80E-08
3.49E-18,8.01E-05,7.53E-05,6.84E-05,7.15E-05,9.13E-08,9.43E-08,7.16E-08,7.70E-07,6.47E-07
7.10E-18,7.51E-05,9.22E-05,8.45E-05,9.55E-05,1.47E-07,1.25E-07,1.48E-07,5.14E-06,4.88E-06
1.44E-17,0.000103492,0.000139125,0.000106387,9.76E-05,1.68E-07,1.67E-07,1.25E-07,3.91E-05,4.30E-05
2.94E-17,0.000130226,0.000152989,0.000139503,0.000136562,2.44E-07,2.49E-07,2.40E-07,0.000288909,0.00027886
5.97E-17,0.000151452,0.000123614,0.000154349,0.000135138,2.74E-07,3.06E-07,3.01E-07,0.001967196,0.002416881
1.21E-16,0.000158566,0.000133271,0.000187805,0.000153263,4.15E-07,4.19E-07,4.22E-07,0.015692767,0.017490068
2.47E-16,0.000166847,0.00019292,0.000143952,0.00022649,6.39E-07,5.44E-07,5.24E-07,0.130272063,0.117024226
5.01E-16,0.000223097,0.000259536,0.000234276,0.000206118,7.81E-07,8.09E-07,8.35E-07,0.871358022,0.865194259
1.02E-15,0.000258087,0.000296629,0.000240202,0.000271584,1.05E-06,9.78E-07,9.64E-07,3.74366686,3.762912696
2.07E-15,0.000273196,0.000271283,0.000284955,0.000273302,1.23E-06,1.42E-06,1.51E-06,5.871598284,6.747642981
4.21E-15,0.000290884,0.00034644,0.000314998,0.000305659,1.82E-06,2.03E-06,1.87E-06,8.191693634,7.287372263
8.57E-15,0.000376014,0.000322339,0.000384409,0.000390224,2.14E-06,2.50E-06,2.32E-06,7.642115002,8.910225251
1.74E-14,0.000398815,0.000421789,0.000502109,0.000438085,3.42E-06,3.57E-06,4.15E-06,6.952390973,7.280285405
3.54E-14,0.000471394,0.000415871,0.000565447,0.000515124,4.46E-06,3.34E-06,4.93E-06,6.548690811,7.976634517
7.20E-14,0.000610605,0.000579447,0.000541112,0.000583758,5.30E-06,6.62E-06,5.97E-06,7.042645497,8.42439049
1.46E-13,0.000656471,0.000677197,0.000542666,0.000633357,8.58E-06,7.63E-06,8.12E-06,8.216137773,6.567744461
2.97E-13,0.000779646,0.000726837,0.000815023,0.000778354,9.76E-06,9.76E-06,1.00E-05,7.256784879,8.574914951
6.05E-13,0.000841585,0.000769581,0.000827487,0.000956389,1.42E-05,1.63E-05,1.18E-05,7.827907597,6.508950208
1.23E-12,0.000796803,0.000882765,0.001069443,0.000956848,2.06E-05,2.11E-05,1.95E-05,5.98609955,8.489820002
2.50E-12,0.001012149,0.0009763,0.001092138,0.001007303,2.62E-05,2.66E-05,2.44E-05,7.021990057,7.532898836
5.08E-12,0.001259536,0.001246693,0.001374293,0.001332405,3.59E-05,3.67E-05,4.27E-05,7.11881241,8.270746436
1.03E-11,0.001507144,0.001556062,0.001573448,0.001558088,4.80E-05,4.23E-05,5.80E-05,7.959380637,8.592200791
2.10E-11,0.00154207,0.001890791,0.001611854,0.001984698,6.83E-05,5.31E-05,5.74E-05,7.033275995,6.942235053
