Time,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,imperfect,perfect,perfect,perfect,perfect
0,0,0,0,0,0,5.76E-05,5.53E-05,6.05E-05,5.43E-05,5.98E-05,3.75E-08,3.34E-08,4.00E-08,3.49E-08,4.55E-08,1.71E-09,1.99E-09,1.68E-09,1.82E-09,1.92E-09,9.46E-05,0.000116503,9.58E-05,8.20E-05,8.26E-05,0,0,0,0,0,0,0,0,0,0,3.77E-08,4.96E-17,1.64E-07,2.03E-10
1,0,0,0,0,0,6.26E-05,5.86E-05,6.52E-05,5.14E-05,6.96E-05,5.51E-08,4.33E-08,4.96E-08,4.78E-08,4.79E-08,1.08E-08,1.40E-08,1.30E-08,1.22E-08,1.51E-08,0.000171494,0.000194826,0.000129882,0.000169261,0.000192812,0,0,0,0,0,0,0,0,0,0,5.08E-08,8.77E-17,1.64E-07,2.97E-10
2,0,0,0,0,0,6.82E-05,7.40E-05,6.36E-05,7.12E-05,6.23E-05,6.38E-08,6.77E-08,6.78E-08,6.26E-08,7.70E-08,1.01E-07,1.00E-07,1.06E-07,9.52E-08,9.15E-08,0.000211079,0.000278765,0.000238364,0.000259013,0.000241157,0,0,0,0,0,0,0,0,0,0,6.84E-08,1.55E-16,1.64E-07,4.34E-10
3,0,0,0,0,0,9.39E-05,7.63E-05,8.62E-05,8.00E-05,6.85E-05,9.61E-08,8.50E-08,7.22E-08,1.03E-07,1.06E-07,6.83E-07,7.54E-07,7.41E-07,8.43E-07,7.53E-07,0.000380226,0.00037378,0.00041607,0.000451772,0.000487204,0,0,0,0,0,0,0,0,0,0,9.22E-08,2.74E-16,1.64E-07,6.35E-10
4,0,0,0,0,0,9.85E-05,0.000103996,0.00010236,0.000115407,8.59E-05,1.19E-07,1.30E-07,9.25E-08,1.09E-07,1.20E-07,5.52E-06,4.89E-06,5.53E-06,4.79E-06,6.30E-06,0.000599833,0.00070353,0.000870162,0.000738557,0.000703773,0,0,0,0,0,0,0,0,0,0,1.24E-07,4.83E-16,1.64E-07,9.28E-10
5,0,0,0,0,0,0.000124901,9.17E-05,0.000113031,0.000109078,0.000106825,1.87E-07,1.65E-07,1.58E-07,1.55E-07,1.68E-07,3.93E-05,5.03E-05,3.83E-05,3.61E-05,3.84E-05,0.001196927,0.001277117,0.001198594,0.001105904,0.000893492,0,0,0,0,0,0,0,0,0,0,1.68E-07,8.53E-16,1.64E-07,1.36E-09
6,0,0,0,0,0,0.000109644,0.000142042,0.000140622,0.000130438,0.000131693,2.08E-07,2.09E-07,2.88E-07,2.34E-07,2.54E-07,0.000303571,0.000285146,0.000354276,0.00031094,0.000270188,0.001615292,0.001802023,0.001606625,0.001752227,0.00161589,0,0,0,0,0,0,0,0,0,0,2.26E-07,1.51E-15,1.64E-07,1.98E-09
7,0,0,0,0,0,0.000146749,0.00013723,0.000167779,0.000117848,0.000154621,3.19E-07,2.83E-07,3.13E-07,3.08E-07,2.64E-07,0.002665082,0.002405129,0.002271994,0.002632544,0.00187868,0.002411613,0.002976407,0.002947346,0.002599633,0.002749813,0,0,0,0,0,0,0,0,0,0,3.04E-07,2.66E-15,1.64E-07,2.89E-09
8,0,0,0,0,0,0.000141989,0.000173615,0.000166733,0.0001632,0.000151655,3.95E-07,3.75E-07,3.75E-07,4.87E-07,3.92E-07,0.015630317,0.019125122,0.017567055,0.017420005,0.019996647,0.004279525,0.004589797,0.005172287,0.00404385,0.003918379,0,0,0,0,0,0,0,0,0,0,4.10E-07,4.70E-15,1.64E-07,4.23E-09
9,0,0,0,0,0,0.000215092,0.000210245,0.000186551,0.000191351,0.000230796,5.62E-07,5.34E-07,6.01E-07,5.29E-07,5.13E-07,0.130005675,0.131732493,0.121764998,0.146208324,0.108193392,0.006016354,0.007146004,0.006979983,0.006331814,0.006727656,0,0,0,0,0,0,0,0,0,0,5.53E-07,8.31E-15,1.64E-07,6.18E-09
